token_id,name,symbol,timestamp,market_cap,total_volume,solana_mint,longterm_holders,pct_change
ai-research-orchestrator,AI Research Orchestrator,ARO,2025-02-13T08:49:05.608462,1461373,481990,CBQxnbAbakVewBtZPDRQcQVLWZCfNcD5u6uJDDBJpump,0,0.0
ai16zeliza,ai16zeliza,ELIZA,2025-02-13T08:49:05.608462,1442800,352705,wUtwjNmjCP9TTTtoc5Xn5h5sZ2cYJm5w2w44b79yr2o,0,0.0
solaris-ai,Solaris AI,SOLARIS,2025-02-13T08:49:05.608462,1427771,203149,3RfQPYVJgJbwyB3BzqqypCEWWryxjTfFDAcXQsckpump,0,0.0
agi-alpha-agent,AGI ALPHA AGENT,AGIALPHA,2025-02-13T08:49:05.608462,1416607,9305.97,tWKHzXd5PRmxTF5cMfJkm2Ua3TcjwNNoSRUqx6Apump,0,0.0
duck-ai,Duck AI,DUCKAI,2025-02-13T08:49:05.608462,1412260,21917,HFw81sUUPBkNF5tKDanV8VCYTfVY4XbrEEPiwzyypump,0,0.0
mixmob,MAXX AI,MXM,2025-02-13T08:49:05.608462,1379133,26161,H53UGEyBrB9easo9ego8yYk7o4Zq1G5cCtkxD3E3hZav,0,0.0
kolwai,Kolwaii,KWAII,2025-02-13T08:49:05.608462,1367307,40255,6uVJY332tiYwo58g3B8p9FJRGmGZ2fUuXR8cpiaDpump,0,0.0
shakey-ai,Shakey AI,SHAKEY,2025-02-13T08:49:05.608462,1344719,111274,7f9USKiLfbksTfNt6yrF2z6bxNDQ4FRKni8rSEd4pump,0,0.0
choise,Choise.ai,CHO,2025-02-13T08:49:05.608462,1313362,1883887,59McpTVgyGsSu5eQutvcKLFu7wrFe3ZkE2qdAi3HnvBn,0,0.0
agents-ai,Agents AI,AGENT,2025-02-13T08:49:05.608462,1269675,22773,Ag5mMdBSxm8J893RazD9PGkxWKJ5o3UKdWW4ZmJAey9w,0,0.0
nailong,Nailong,NAILONG,2025-02-13T08:49:05.608462,1242282,48079,mkvXiNBpa8uiSApe5BrhWVJaT87pJFTZxRy7zFapump,0,0.0
dojo-protocol,Dojo Protocol,DOAI,2025-02-13T08:49:05.608462,1206331,87875,3vmfEaTR9M2Pp5JcFNC8c8u6U4eFUBdq6FQjgPpcnfKS,0,0.0
assai,ASSAI,ASSAI,2025-02-13T08:49:05.608462,1128344,1806309,12XbSPVc5hmWjKUzf5ExTysM2pEL3tM953YkMXmLWkGd,0,0.0
sola-ai,SOLA AI,SOLA,2025-02-13T08:49:05.608462,1094138,8795592,B5UsiUYcTD3PcQa8r2uXcVgRmDL8jUYuXPiYjrY7pump,0,0.0
homo-memetus,Homo Memetus,HOMO,2025-02-13T08:49:05.608462,1070096,124279,7Uuzh9JwqF8z3u6MWpQuQJbpD1u46xPDY6PGjwfwTh4o,0,0.0
ai16z,ai16z,AI16Z,2025-02-13T08:59:49.105740,539026335,309128549,HeLp6NuQkmYB4pYWo2zYs22mESHXPQYzXbB8n4V98jwC,0,0.0
coinbase-wrapped-btc,Coinbase Wrapped BTC,CBBTC,2025-02-13T08:59:49.105740,2448301643,466002075,cbbtcf3aa214zXHbiAZQwf4122FBYbraNdFqgw4iMij,0,0.0
virtual-protocol,Virtuals Protocol,VIRTUAL,2025-02-13T08:59:49.105740,842919399,247378365,3iQL8BFS2vE7mww4ehAqQHAsbmRNCrPxizWAT2Zfyr9y,0,0.0
pyth-network,Pyth Network,PYTH,2025-02-13T08:59:49.105740,746425812,41881382,HZ1JovNiVvGrGNiiYvEozEVgZ58xaU3RKwX8eACQBCt3,0,0.0
fartcoin,Fartcoin,FARTCOIN,2025-02-13T08:59:49.105740,518410666,205627759,9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,0,0.0
chex-token,CHEX Token,CHEX,2025-02-13T08:59:49.105740,438846787,5467587,6dKCoWjpj5MFU5gWDEFdpUUeBasBLK3wLEwhUzQPAa1e,0,0.0
