timestamp,token_id,name,symbol,market_cap,total_volume,solana_mint,longterm_holders,pct_change
melania-meme,Melania Meme,melania,2025-02-12T17:41:00.456152,214983209,57984918,FUAfBo2jgks6gB4Z4LfZkqSZgzNucisEHqnNebaRxM1P,0,0.0
aixbt,aixbt by Virtuals,aixbt,2025-02-12T17:41:00.456152,206580455,142813029,14zP2ToQ79XWvc7FQpm4bRnp9d6Mp1rFfsUW3gpLcRX,307,-38.84462151394422
act-i-the-ai-prophecy,Act I The AI Prophecy,act,2025-02-12T17:41:00.456152,181778369,64246453,GJAFwWjJ3vnTsrQVabjBVK2TYB1YtRCQXRDfDgUnpump,240,-73.48066298342542
griffain,GRIFFAIN,griffain,2025-02-12T17:41:00.456152,147872313,48314558,KENJSUYLASHUMfHyy5o4Hp2FdNqZg1AsUPhfH2kYvEP,545,17.71058315334773
book-of-meme,BOOK OF MEME,bome,2025-02-12T17:41:00.456152,143708077,75812354,ukHH6c7mMyiWCf1b9pnWe25TSpkDDt3H5pQZgZ74J82,772,0.0
zignaly,ZIGChain,zig,2025-02-12T17:41:00.456152,134033339,11948121,26f12PmBk77wQV1TzLe8XKkNBvMFggbuypxdtMLzNLzz,888,116.05839416058394
tars-protocol,TARS AI,tai,2025-02-12T17:41:00.456152,119406125,5150446,Hax9LTgsQkze1YFychnBLtFH8gYbQKtKfWKKg2SP6gdD,160,-82.86937901498929
2025-02-12T18:34:29.079211,ai16z,ai16z,ai16z,517892149,346875882,HeLp6NuQkmYB4pYWo2zYs22mESHXPQYzXbB8n4V98jwC,0,0.0
2025-02-12T18:34:29.079211,ai-rig-complex,AI Rig Complex,arc,320659996,172433444,61V8vBaqAGMpgDQi4JcAwo1dmBGHsyhzodcPqnEVpump,435,0.0
2025-02-12T18:34:29.079211,melania-meme,Melania Meme,melania,214015336,58262073,FUAfBo2jgks6gB4Z4LfZkqSZgzNucisEHqnNebaRxM1P,858,0.0
2025-02-12T18:34:29.079211,aixbt,aixbt by Virtuals,aixbt,202955955,146918337,14zP2ToQ79XWvc7FQpm4bRnp9d6Mp1rFfsUW3gpLcRX,930,171.9298245614035
2025-02-12T18:34:29.079211,act-i-the-ai-prophecy,Act I The AI Prophecy,act,179270094,66840087,GJAFwWjJ3vnTsrQVabjBVK2TYB1YtRCQXRDfDgUnpump,199,-67.21581548599671
2025-02-12T18:34:29.079211,griffain,GRIFFAIN,griffain,145100268,48012251,KENJSUYLASHUMfHyy5o4Hp2FdNqZg1AsUPhfH2kYvEP,397,16.76470588235294
2025-02-12T18:34:29.079211,book-of-meme,BOOK OF MEME,bome,142240247,75887268,ukHH6c7mMyiWCf1b9pnWe25TSpkDDt3H5pQZgZ74J82,872,121.31979695431473
2025-02-12T18:34:29.079211,zignaly,ZIGChain,zig,133930264,12681729,26f12PmBk77wQV1TzLe8XKkNBvMFggbuypxdtMLzNLzz,318,-58.7012987012987
2025-02-12T18:34:29.079211,tars-protocol,TARS AI,tai,118447608,5292492,Hax9LTgsQkze1YFychnBLtFH8gYbQKtKfWKKg2SP6gdD,218,-61.82136602451839
ai16z,ai16z,ai16z,2025-02-12T18:41:09.592024,511616106,333283370,HeLp6NuQkmYB4pYWo2zYs22mESHXPQYzXbB8n4V98jwC,0,0.0
ai-rig-complex,AI Rig Complex,arc,2025-02-12T18:41:09.592024,320458552,172579861,61V8vBaqAGMpgDQi4JcAwo1dmBGHsyhzodcPqnEVpump,0,0.0
melania-meme,Melania Meme,melania,2025-02-12T18:41:09.592024,213976775,58413800,FUAfBo2jgks6gB4Z4LfZkqSZgzNucisEHqnNebaRxM1P,0,0.0
aixbt,aixbt by Virtuals,aixbt,2025-02-12T18:41:09.592024,202670902,145439127,14zP2ToQ79XWvc7FQpm4bRnp9d6Mp1rFfsUW3gpLcRX,394,28.338762214983714
act-i-the-ai-prophecy,Act I The AI Prophecy,act,2025-02-12T18:41:09.592024,179194284,66446296,GJAFwWjJ3vnTsrQVabjBVK2TYB1YtRCQXRDfDgUnpump,407,69.58333333333333
griffain,GRIFFAIN,griffain,2025-02-12T18:41:09.592024,144909040,47931438,KENJSUYLASHUMfHyy5o4Hp2FdNqZg1AsUPhfH2kYvEP,582,6.7889908256880735
book-of-meme,BOOK OF MEME,bome,2025-02-12T18:41:09.592024,142409669,75979831,ukHH6c7mMyiWCf1b9pnWe25TSpkDDt3H5pQZgZ74J82,614,-20.46632124352332
zignaly,ZIGChain,zig,2025-02-12T18:41:09.592024,133869146,12800388,26f12PmBk77wQV1TzLe8XKkNBvMFggbuypxdtMLzNLzz,180,-79.72972972972973
tars-protocol,TARS AI,tai,2025-02-12T18:41:09.592024,119700676,5286818,Hax9LTgsQkze1YFychnBLtFH8gYbQKtKfWKKg2SP6gdD,319,99.375
