timestamp,token_id,name,symbol,market_cap,total_volume,solana_mint,longterm_holders,pct_change
2025-02-13T08:35:28.281269,griffain,GRIFFAIN,griffain,159732318,53424073,KENJSUYLASHUMfHyy5o4Hp2FdNqZg1AsUPhfH2kYvEP,920,90.08264462809917
2025-02-13T08:35:28.281269,book-of-meme,BOOK OF MEME,bome,151016884,96054264,ukHH6c7mMyiWCf1b9pnWe25TSpkDDt3H5pQZgZ74J82,215,-71.67325428194994
2025-02-13T08:35:28.281269,zignaly,ZIGChain,zig,133367764,22045847,26f12PmBk77wQV1TzLe8XKkNBvMFggbuypxdtMLzNLzz,624,-7.6923076923076925
2025-02-13T08:35:28.281269,tars-protocol,TARS AI,tai,117087383,5878675,Hax9LTgsQkze1YFychnBLtFH8gYbQKtKfWKKg2SP6gdD,323,-49.92248062015504
ai16z,ai16z,ai16z,2025-02-13T08:42:16.120134,541459417,309257439,HeLp6NuQkmYB4pYWo2zYs22mESHXPQYzXbB8n4V98jwC,0,0.0
ai-rig-complex,AI Rig Complex,arc,2025-02-13T08:42:16.120134,368605761,218626398,61V8vBaqAGMpgDQi4JcAwo1dmBGHsyhzodcPqnEVpump,0,0.0
melania-meme,Melania Meme,melania,2025-02-13T08:42:16.120134,218117346,64070146,FUAfBo2jgks6gB4Z4LfZkqSZgzNucisEHqnNebaRxM1P,0,0.0
aixbt,aixbt by Virtuals,aixbt,2025-02-13T08:42:16.120134,211169333,170784482,14zP2ToQ79XWvc7FQpm4bRnp9d6Mp1rFfsUW3gpLcRX,694,0.0
act-i-the-ai-prophecy,Act I The AI Prophecy,act,2025-02-13T08:42:16.120134,183780405,100173550,GJAFwWjJ3vnTsrQVabjBVK2TYB1YtRCQXRDfDgUnpump,869,-2.796420581655481
griffain,GRIFFAIN,griffain,2025-02-13T08:42:16.120134,158908038,53416781,KENJSUYLASHUMfHyy5o4Hp2FdNqZg1AsUPhfH2kYvEP,504,-25.0
book-of-meme,BOOK OF MEME,bome,2025-02-13T08:42:16.120134,150864485,96196103,ukHH6c7mMyiWCf1b9pnWe25TSpkDDt3H5pQZgZ74J82,734,23.77740303541315
zignaly,ZIGChain,zig,2025-02-13T08:42:16.120134,133263612,22165075,26f12PmBk77wQV1TzLe8XKkNBvMFggbuypxdtMLzNLzz,410,25.0
tars-protocol,TARS AI,tai,2025-02-13T08:42:16.120134,117052069,5930490,Hax9LTgsQkze1YFychnBLtFH8gYbQKtKfWKKg2SP6gdD,298,129.23076923076923
